state_x;district_x;year_x;full_name;party_x;grade2016;year_y;grade2018
AK;At Large;2016;Don Young;R;7;2018;7
AL;District 1;2016;Bradley Byrne;R;6;2018;6
AL;District 2;2016;Martha Roby;R;6;2018;6
AL;District 3;2016;Mike Rogers;R;6;2018;7
AL;District 4;2016;Robert Aderholt;R;6;2018;6
AL;District 5;2016;Mo Brooks;R;6;2018;6
AL;District 6;2016;Gary Palmer;R;6;2018;6
AL;District 7;2016;Terri Sewell;D;3;2018;3
AR;District 1;2016;Rick Crawford;R;6;2018;6
AR;District 2;2016;French Hill;R;6;2018;6
AR;District 3;2016;Steve Womack;R;6;2018;6
AR;District 4;2016;Bruce Westerman;R;6;2018;6
AZ;District 3;2016;Raúl Grijalva;D;6;2018;6
AZ;District 4;2016;Paul Gosar;R;6;2018;6
AZ;District 5;2016;Andy Biggs;R;6;2018;6
AZ;District 6;2016;David Schweikert;R;6;2018;6
AZ;District 7;2016;Ruben Gallego;D;6;2018;6
CA;District 1;2016;Doug LaMalfa;R;6;2018;6
CA;District 10;2016;Jeff Denham;R;6;2018;6
CA;District 11;2016;Mark DeSaulnier;D;6;2018;6
CA;District 12;2016;Nancy Pelosi;D;6;2018;6
CA;District 13;2016;Barbara Lee;D;6;2018;6
CA;District 14;2016;Jackie Speier;D;6;2018;6
CA;District 15;2016;Eric Swalwell;D;6;2018;6
CA;District 16;2016;Jim Costa;D;4;2018;6
CA;District 18;2016;Anna Eshoo;D;6;2018;6
CA;District 19;2016;Zoe Lofgren;D;6;2018;6
CA;District 2;2016;Jared Huffman;D;6;2018;6
CA;District 2;2016;Dale Mensing;R;6;2018;6
CA;District 21;2016;David Valadao;R;6;2018;6
CA;District 22;2016;Devin Nunes;R;6;2018;6
CA;District 23;2016;Kevin McCarthy;R;7;2018;7
CA;District 24;2016;Justin Fareed;R;6;2018;6
CA;District 24;2016;Salud Carbajal;D;6;2018;6
CA;District 25;2016;Steve Knight;R;6;2018;6
CA;District 26;2016;Julia Brownley;D;6;2018;6
CA;District 27;2016;Judy Chu;D;6;2018;6
CA;District 28;2016;Adam Schiff;D;6;2018;6
CA;District 3;2016;John Garamendi;D;6;2018;6
CA;District 30;2016;Brad Sherman;D;6;2018;6
CA;District 30;2016;Mark Reed;R;6;2018;6
CA;District 31;2016;Pete Aguilar;D;6;2018;6
CA;District 32;2016;Grace Napolitano;D;6;2018;6
CA;District 33;2016;Ted Lieu;D;6;2018;6
CA;District 35;2016;Norma Torres;D;6;2018;6
CA;District 36;2016;Raul Ruiz;D;6;2018;6
CA;District 37;2016;Karen Bass;D;6;2018;6
CA;District 38;2016;Linda Sanchez;D;6;2018;6
CA;District 4;2016;Tom McClintock;R;6;2018;6
CA;District 40;2016;Lucille Roybal-Allard;D;6;2018;6
CA;District 41;2016;Mark Takano;D;6;2018;6
CA;District 42;2016;Ken Calvert;R;6;2018;6
CA;District 43;2016;Maxine Waters;D;6;2018;6
CA;District 43;2016;Omar Navarro;R;6;2018;6
CA;District 45;2016;Mimi Walters;R;6;2018;6
CA;District 46;2016;Lou Correa;D;6;2018;6
CA;District 47;2016;Alan Lowenthal;D;6;2018;6
CA;District 48;2016;Dana Rohrabacher;R;6;2018;6
CA;District 5;2016;Mike Thompson;D;6;2018;6
CA;District 50;2016;Duncan Hunter;R;6;2018;6
CA;District 51;2016;Juan Vargas;D;6;2018;6
CA;District 52;2016;Scott Peters;D;6;2018;6
CA;District 53;2016;Susan Davis;D;6;2018;6
CA;District 6;2016;Doris Matsui;D;6;2018;6
CA;District 7;2016;Ami Bera;D;6;2018;6
CA;District 8;2016;Paul Cook;R;6;2018;6
CA;District 9;2016;Jerry McNerney;D;6;2018;6
CO;District 1;2016;Diana DeGette;D;6;2018;6
CO;District 3;2016;Scott Tipton;R;6;2018;6
CO;District 4;2016;Ken Buck;R;6;2018;6
CO;District 5;2016;Doug Lamborn;R;6;2018;6
CO;District 6;2016;Mike Coffman;R;6;2018;6
CO;District 7;2016;Ed Perlmutter;D;6;2018;6
CT;District 1;2016;John Larson;D;6;2018;6
CT;District 2;2016;Joe Courtney;D;6;2018;6
CT;District 3;2016;Rosa DeLauro;D;6;2018;6
CT;District 4;2016;Jim Himes;D;6;2018;6
DE;At-Large;2016;Lisa Blunt Rochester;D;6;2018;6
FL;District 1;2016;Matt Gaetz;R;7;2018;7
FL;District 10;2016;Val Demings;D;6;2018;1
FL;District 11;2016;Daniel Webster;R;6;2018;6
FL;District 12;2016;Gus Bilirakis;R;6;2018;6
FL;District 13;2016;Charlie Crist;D;6;2018;1
FL;District 14;2016;Kathy Castor;D;6;2018;6
FL;District 16;2016;Vern Buchanan;R;6;2018;6
FL;District 17;2016;April Freeman;D;6;2018;6
FL;District 18;2016;Brian Mast;R;6;2018;6
FL;District 19;2016;Francis Rooney;R;6;2018;6
FL;District 2;2016;Neal Dunn;R;6;2018;6
FL;District 20;2016;Alcee Hastings;D;6;2018;1
FL;District 21;2016;Lois Frankel;D;6;2018;6
FL;District 22;2016;Ted Deutch;D;6;2018;1
FL;District 23;2016;Joe Kaufman;R;5;2018;6
FL;District 23;2016;Debbie Wasserman Schultz;D;6;2018;1
FL;District 24;2016;Frederica Wilson;D;6;2018;6
FL;District 25;2016;Mario Diaz-Balart;R;6;2018;6
FL;District 26;2016;Carlos Curbelo;R;5;2018;1
FL;District 3;2016;Ted Yoho;R;6;2018;6
FL;District 4;2016;John Rutherford;R;6;2018;6
FL;District 7;2016;Stephanie Murphy;D;6;2018;1
FL;District 8;2016;Bill Posey;R;6;2018;6
FL;District 9;2016;Darren Soto;D;3;2018;1
FL;District 9;2016;Wayne Liebnitzky;R;6;2018;6
GA;District 10;2016;Jody Hice;R;6;2018;6
GA;District 11;2016;Barry Loudermilk;R;6;2018;6
GA;District 13;2016;David Scott;D;3;2018;6
GA;District 14;2016;Tom Graves;R;7;2018;7
GA;District 2;2016;Sanford Bishop;D;6;2018;6
GA;District 3;2016;Drew Ferguson;R;6;2018;6
GA;District 7;2016;Rob Woodall;R;5;2018;6
GA;District 8;2016;Austin Scott;R;6;2018;6
GA;District 9;2016;Doug Collins;R;6;2018;6
HI;District 2;2016;Tulsi Gabbard;D;6;2018;6
IA;District 1;2016;Rod Blum;R;6;2018;6
IA;District 2;2016;Christopher Peters;R;6;2018;6
IA;District 2;2016;Dave Loebsack;D;6;2018;6
IA;District 3;2016;David Young;R;6;2018;6
IA;District 4;2016;Steve King;R;6;2018;6
ID;District 2;2016;Mike Simpson;R;7;2018;6
IL;District 1;2016;Bobby Rush;D;6;2018;6
IL;District 10;2016;Brad Schneider;D;6;2018;6
IL;District 11;2016;Bill Foster;D;6;2018;6
IL;District 12;2016;Mike Bost;R;6;2018;6
IL;District 13;2016;Rodney Davis;R;6;2018;6
IL;District 14;2016;Randy Hultgren;R;6;2018;6
IL;District 15;2016;John Shimkus;R;6;2018;6
IL;District 16;2016;Adam Kinzinger;R;6;2018;6
IL;District 17;2016;Cheri Bustos;D;4;2018;6
IL;District 18;2016;Darin LaHood;R;6;2018;6
IL;District 18;2016;Junius Rodriguez;D;6;2018;6
IL;District 2;2016;Robin Kelly;D;6;2018;6
IL;District 3;2016;Dan Lipinski;D;6;2018;6
IL;District 5;2016;Mike Quigley;D;6;2018;6
IL;District 6;2016;Peter Roskam;R;6;2018;5
