state;district;year;full_name;party;grade
AK;At Large;2016;Don Young;R;A+
AK;At Large;2016;Steve Lindbeck;D;?
AL;District 1;2016;Bradley Byrne;R;A
AL;District 2;2016;Nathan Mathis;D;?
AL;District 2;2016;Martha Roby;R;A
AL;District 3;2016;Mike Rogers;R;A
AL;District 3;2016;Jesse Smith;D;D
AL;District 4;2016;Robert Aderholt;R;A
AL;District 5;2016;Mo Brooks;R;A
AL;District 5;2016;Will Boyd;D;?
AL;District 6;2016;David Putnam;D;D
AL;District 6;2016;Gary Palmer;R;A
AL;District 7;2016;Terri Sewell;D;D
AR;District 1;2016;Rick Crawford;R;A
AR;District 2;2016;Dianne Curry;D;F
AR;District 2;2016;French Hill;R;A
AR;District 3;2016;Steve Womack;R;A
AR;District 4;2016;Bruce Westerman;R;A
AZ;District 1;2016;Paul Babeu;R;A
AZ;District 1;2016;Tom O'Halleran;D;?
AZ;District 2;2016;Matt Heinz;D;F
AZ;District 2;2016;Martha McSally;R;A
AZ;District 3;2016;Raúl Grijalva;D;F
AZ;District 4;2016;Mikel Weisser;D;F
AZ;District 4;2016;Paul Gosar;R;A
AZ;District 5;2016;Talia Fuentes;D;?
AZ;District 5;2016;Andy Biggs;R;A
AZ;District 6;2016;David Schweikert;R;A
AZ;District 6;2016;W. John Williamson;D;F
AZ;District 7;2016;Ruben Gallego;D;F
AZ;District 7;2016;Eve Nunez;R;AQ
AZ;District 8;2016;Trent Franks;R;A
AZ;District 9;2016;Kyrsten Sinema;D;D+
AZ;District 9;2016;Dave Giles;R;AQ
CA;District 1;2016;Jim Reed;D;?
CA;District 1;2016;Doug LaMalfa;R;A
CA;District 10;2016;Jeff Denham;R;A
CA;District 10;2016;Michael Eggman;D;?
CA;District 11;2016;Roger Petersen;R;?
CA;District 11;2016;Mark DeSaulnier;D;F
CA;District 12;2016;Bob Miller;R;?
CA;District 12;2016;Nancy Pelosi;D;F
CA;District 13;2016;Sue Caro;R;?
CA;District 13;2016;Barbara Lee;D;F
CA;District 14;2016;Jackie Speier;D;F
CA;District 15;2016;Danny Turner;R;AQ
CA;District 15;2016;Eric Swalwell;D;F
CA;District 16;2016;Johnny Tacherra;R;AQ
CA;District 16;2016;Jim Costa;D;C-
CA;District 17;2016;Ro Khanna;D;?
CA;District 17;2016;Mike Honda;D;F
CA;District 18;2016;Richard Fox;R;?
CA;District 18;2016;Anna Eshoo;D;F
CA;District 19;2016;Zoe Lofgren;D;F
CA;District 19;2016;Burt Lancaster;R;AQ
CA;District 2;2016;Jared Huffman;D;F
CA;District 2;2016;Dale Mensing;R;AQ
CA;District 20;2016;Jimmy Panetta;D;?
CA;District 20;2016;Casey Lucius;R;AQ
CA;District 21;2016;David Valadao;R;A
CA;District 21;2016;Daniel Parra;D;?
CA;District 22;2016;Louie Campos;D;?
CA;District 22;2016;Devin Nunes;R;A
CA;District 23;2016;Wendy Reed;D;?
CA;District 23;2016;Kevin McCarthy;R;A+
CA;District 24;2016;Justin Fareed;R;AQ
CA;District 24;2016;Salud Carbajal;D;F
CA;District 25;2016;Steve Knight;R;A
CA;District 25;2016;Bryan Caforio;D;?
CA;District 26;2016;Julia Brownley;D;F
CA;District 26;2016;Rafael Dagnesses;R;AQ
CA;District 27;2016;Judy Chu;D;F
CA;District 27;2016;Jack Orswell;R;AQ
CA;District 28;2016;Adam Schiff;D;F
CA;District 28;2016;Lenore Solis;R;?
CA;District 29;2016;Richard Alarcon;D;F
CA;District 29;2016;Tony Cárdenas;D;F
CA;District 3;2016;N. Eugene Cleek;R;AQ
CA;District 3;2016;John Garamendi;D;F
CA;District 30;2016;Brad Sherman;D;F
CA;District 30;2016;Mark Reed;R;AQ
CA;District 31;2016;Pete Aguilar;D;F
CA;District 31;2016;Paul Chabot;R;AQ
CA;District 32;2016;Gordon Fisher;R;C
CA;District 32;2016;Grace Napolitano;D;F
CA;District 33;2016;Kenneth Wright;R;?
CA;District 33;2016;Ted Lieu;D;F
CA;District 34;2016;Adrienne Edwards;D;?
CA;District 34;2016;Xavier Becerra;D;F
CA;District 35;2016;Norma Torres;D;F
CA;District 35;2016;Tyler Fischella;R;?
CA;District 36;2016;Raul Ruiz;D;F
CA;District 36;2016;Jeff Stone;R;A
CA;District 37;2016;Karen Bass;D;F
CA;District 37;2016;Chris Blake Wiggins;D;?
CA;District 38;2016;Linda Sanchez;D;F
CA;District 38;2016;Ryan Downing;R;AQ
CA;District 39;2016;Brett Murdock;D;C
CA;District 39;2016;Ed Royce;R;A
CA;District 4;2016;Robert Derlet;D;?
CA;District 4;2016;Tom McClintock;R;A
CA;District 40;2016;Lucille Roybal-Allard;D;F
CA;District 40;2016;Roman Gonzalez;P;?
CA;District 41;2016;Doug Shepherd;R;AQ
CA;District 41;2016;Mark Takano;D;F
CA;District 42;2016;Tim Sheridan;D;?
CA;District 42;2016;Ken Calvert;R;A
CA;District 43;2016;Maxine Waters;D;F
CA;District 43;2016;Omar Navarro;R;AQ
CA;District 44;2016;Isadore Hall, III;D;F
CA;District 44;2016;Nanette Diaz Barragan;D;?
CA;District 45;2016;Ron Varasteh;D;?
CA;District 45;2016;Mimi Walters;R;A
CA;District 46;2016;Bao Nguyen;D;F
CA;District 46;2016;Lou Correa;D;F
CA;District 47;2016;Andy Whallon;R;AQ
CA;District 47;2016;Alan Lowenthal;D;F
CA;District 48;2016;Dana Rohrabacher;R;A
CA;District 48;2016;Suzanne Savary;D;?
CA;District 49;2016;Doug Applegate;D;?
CA;District 49;2016;Darrell Issa;R;A
CA;District 5;2016;Carlos Santamaria;R;?
CA;District 5;2016;Mike Thompson;D;F
CA;District 50;2016;Patrick Malloy;D;?
CA;District 50;2016;Duncan Hunter;R;A
CA;District 51;2016;Juan Vargas;D;F
CA;District 51;2016;Juan Hidalgo, Jr.;R;AQ
CA;District 52;2016;Scott Peters;D;F
CA;District 52;2016;Denise Gitsham;R;?
CA;District 53;2016;Jim Ash;R;AQ
CA;District 53;2016;Susan Davis;D;F
CA;District 6;2016;Bob Evans;R;?
CA;District 6;2016;Doris Matsui;D;F
CA;District 7;2016;Ami Bera;D;F
CA;District 7;2016;Scott Jones;R;A
CA;District 8;2016;Paul Cook;R;A
CA;District 8;2016;Rita Ramirez;D;?
CA;District 9;2016;Jerry McNerney;D;F
CA;District 9;2016;Tony Amador;R;AQ
CO;District 1;2016;Diana DeGette;D;F
CO;District 1;2016;Casper Stockham;R;AQ
CO;District 2;2016;Nic Morse;R;AQ
CO;District 2;2016;Jared Polis;D;F
CO;District 3;2016;Scott Tipton;R;A
CO;District 3;2016;Gail Schwartz;D;F
CO;District 4;2016;Ken Buck;R;A
CO;District 4;2016;Bob Seay;D;?
CO;District 5;2016;Misty Plowright;D;?
CO;District 5;2016;Doug Lamborn;R;A
CO;District 6;2016;Mike Coffman;R;A
CO;District 6;2016;Morgan Carroll;D;F
CO;District 7;2016;Ed Perlmutter;D;F
CO;District 7;2016;George Athanasopoulos;R;AQ
CT;District 1;2016;John Larson;D;F
CT;District 1;2016;Matthew Corey;R;AQ
