full_name;Total Incoming Weight
Adrian Smith;2500
Don Young;9000
Alex Mooney;2000
Mark Amodei;9000
Andrew Grant;2000
Andy Barr;7450
Ann Wagner;2000
Anthony Gonzales;500
Kelly Armstrong;2000
W. Troy Balderson;10500
Ben Cline;3000
Jack Bergman;2000
Andy Biggs;2000
Bill Flores;3000
Billy Long;1000
Blaine Luetkemayer;2000
Rod Blum;5000
Kevin Brady;5000
Brian Fitzpatrick;1000
Chris Bright;2000
Ken Buck;1000
Larry Buchson;2000
Tim Burchett;1000
Clay Higgins;4500
Carlos Curbelo;1000
Carol D. Miller;3000
Cathy McMorris Rodgers;7000
Chip Roy;6000
Chuck Fleischmann;2000
John Rutherford;2000
Mike Turner;2000
Claudia Tenney;12400
Michael Cloud;2000
Mike Coffman;15950
Steve Watkins;1000
Barbara Comstock;14950
Mike Conaway;3500
Cresent Hardy;5000
John Culberson;23900
John Curtis;8000
Dan Crenshaw;1000
Dan Newhouse;3500
David Rouzer;1000
Warren Davidson;2000
Debbie Lesko;1000
Jeff Denham;14500
Devin Nunes;7000
Dino Rossi;4000
Don Bacon;4000
Dan Donovan;2000
Doug LaMalfa;3000
John Joyce;1000
Brian Babin;6405
Drew Ferguson;5000
Duncan D. Hunter;2000
Eddie Edwards;3000
Elise Stefanik;6000
John Faso;12400
French Hill;7500
Chris Stewart;4500
Dave Brat;13000
David Schweikert;2000
Denver Riggleman;3000
Dusty Johnson;3000
Erik Paulsen;2000
Glenn Thompson;8000
Jim Hagedorn;7950
Mia Love;6000
Neal Dunn;1000
Paul Mitchell;6500
Scott DesJarlais;8000
Garret Graves;1000
George Holding;3000
John Gibbs;3000
Sam Graves;3500
Greg Gianforte;4000
Greg Pence;2500
Greg Steube;4500
Gregg Harper;1000
Brett Guthrie;1000
Guy Reschenthaler;2000
Karen Handel;9000
Kevin Hern;1000
Richard Hudson;4000
Bill Huizenga;2000
Will Hurd;15450
Jaime Herrera Beutler;2000
Jason Lewis;12450
Jason Smith;2500
Jeff Fortenberry;3000
Jim Banks;1000
Jim Costa;4000
Jim Jordan;4500
Jody Hice;2000
Joe Wilson;2000
John Carter;14450
John Chrin;2000
John Rose;1000
Bill Johnson;3000
Justin Amash;3000
Katie Arrington;3000
John Katko;2500
Kay Granger;6000
Ken Calver;3000
Kenny Marchant;2000
Kevin McCarthy;8950
Kevin Roberts;2000
Kimberlin Brown;3000
Ron Kind;2500
Steve King;6000
Adam Kinzinger;2000
Kurt Schrader;5000
Darin LaHood;6000
Lance Gooden;4000
Bob Latta;11000
Louie Gohmert;5000
Mark Green;1000
Mark Harris;6500
Martha Roby;14500
Marty Nothstein;7950
Brian Mast;500
Michael McCaul;3500
Tom McClintock;2000
Patrick McHenry;2500
Mark Meadows;1000
Dan Meuser;2000
Michael Waltz;4000
Mike Bishop;3000
Mike Bost;12500
Mike Kelly;6500
Mike Miller;2000
Mike Rogers;4000
John Moolenaar;2000
Morgan Griffith;3000
Kevin Mullin;1000
Pete Olson;6690
Scott Perry;4500
Paul Gosar;7000
Pete Sessions;19400
Pete Stauber;13900
Lynn Peterson;20900
Bruce Poliquin;17900
Ralph Abraham;1000
Ralph Norman;3000
Randy Hultgren;4500
John Ratcliffe;2000
Rick Larsen;5950
Rick W. Allen;2000
Rob Bishop;4000
Rob Wittman;8000
Rob Woodall;3000
Robert Aderholt;3000
Rodney Davis;8000
Roger Williams;3000
Ron Estes;4000
Ron Wright;1000
Ross Spano;4000
Keith Rothfus;8950
Paul Ryan;19900
Steve Scalise;12000
Scott Taylor;7000
Mike Simpson;1000
Lloyd Smucker;4000
Steve Knight;4500
Steve Russell;3000
Steve Stivers;2500
Ted Budd;16000
Henry Cuellar;12950
Jodey Arrington;2000
Thomas Massie;1000
Mac Thornberry;3000
Trey Hollingsworth;2000
Fred Upton;2000
David Valadao;9500
Van Taylor;2000
Vicente Gonzales;1000
Vicky Hartzler;4255
Virginia Foxx;3000
John Shimkus;1000
Greg Walden;4500
Mark Walker;1000
Jackie Walorski;5000
Randy Weber;2000
Wendy Rogers;1000
Brad Wenstrup;2000
William Timmons;1000
Steve Womack;3000
David Young;6500
Young Kim;2000
Yvette Herrell;6000
Lee Zeldin;10400
